+id,lat,lon
16173236,28.6138954,77.2090057
58061203,28.5940555,77.1655298
60890383,28.5883542,77.1700831
60890393,28.580619,77.1749531
246513647,28.5948392,77.1670798
246518180,28.6019058,77.1806989
246518182,28.6041823,77.1847984
246518183,28.6050048,77.1860352
246518184,28.6061198,77.1873878
246518185,28.6088056,77.1898836
246518186,28.6093351,77.1904957
249782337,28.6306928,77.2195322
249783291,28.6300832,77.2209174
249783293,28.6298938,77.2194853
249783302,28.6314291,77.2167421
249786848,28.6204248,77.2188628
249786850,28.619882,77.218227
249786852,28.6196198,77.2183038
249786857,28.6194323,77.2184986
249786858,28.619339,77.2188245
249786859,28.6194221,77.2191752
249786861,28.6194158,77.2196175
249791204,28.6137551,77.2122049
249791836,28.5791334,77.2114341
249791840,28.582224,77.2123384
249791841,28.5833366,77.212519
249791842,28.584598,77.2123806
249791843,28.5858198,77.2124321
249791934,28.6190168,77.2094715
250102748,28.5913149,77.2148405
266807243,28.6150802,77.1900676
266807244,28.6154871,77.1901363
266807245,28.6158789,77.1901964
266807246,28.6162405,77.1902736
266807247,28.6165721,77.190368
266807248,28.6168433,77.190471
266807249,28.6171145,77.190574
266807250,28.6175035,77.1907382
266807251,28.6178077,77.1909002
266807252,28.6181044,77.1910509
266807253,28.6183351,77.191192
266807255,28.6186591,77.1914066
266807256,28.618953,77.191604
266807257,28.619179,77.1917928
266807258,28.6194352,77.1919902
266807260,28.6196461,77.192179
266807261,28.6199159,77.1924414
266807262,28.6201848,77.1927123
266807263,28.6204274,77.1929934
266807264,28.6206496,77.1932568
266807265,28.6208855,77.1935513
266807267,28.6210489,77.1938217
266807268,28.6212585,77.1941532
266807271,28.6215975,77.1947711
266807274,28.6218325,77.1952377
266807277,28.6237136,77.1993889
266809466,28.6050421,77.198393
266809467,28.6066263,77.1956511
266809468,28.6077291,77.1937764
266809469,28.6081744,77.1931514
266809470,28.6087487,77.1925002
266809471,28.6091762,77.1920869
266809501,28.6092524,77.190569
266809614,28.6100877,77.1916453
266809746,28.6087787,77.1900052
266809747,28.6060281,77.1874331
266809748,28.604886,77.1861107
266809749,28.6041312,77.184942
267075196,28.6130207,77.2276662
267193159,28.6024265,77.1924913
267193160,28.6030931,77.19098
267193161,28.603223,77.1908063
267193167,28.602564,77.1941248
267193172,28.601879,77.1938451
267193173,28.601698,77.1942761
267193174,28.6003798,77.196087
267193175,28.5999437,77.1972314
267193176,28.5996481,77.1975695
267193177,28.5993481,77.1977691
267193178,28.5975884,77.1979907
267193179,28.5971311,77.1980413
267193180,28.5965523,77.1981984
267193189,28.5961171,77.193523
267193194,28.5982882,77.1880032
267193196,28.6012763,77.1889472
267193197,28.6014261,77.1890771
267193198,28.6016098,77.1894461
267193199,28.6018453,77.1898807
267193200,28.6019866,77.1901178
267193217,28.5884219,77.1702855
267193230,28.5887559,77.1708237
267193231,28.5896891,77.1720162
267193232,28.5904599,77.1732201
267193233,28.5914954,77.1750225
267193234,28.5919627,77.1757132
267193235,28.5923475,77.1760565
267193236,28.5937317,77.1768719
267193237,28.5956006,77.177921
267193238,28.6007218,77.1820296
267193239,28.6001813,77.1836507
267193240,28.5995636,77.1834322
267193241,28.5990925,77.1834275
267193242,28.5964748,77.183535
267193243,28.5960678,77.1834745
267193245,28.5910941,77.1809162
267193246,28.5911384,77.1808058
267193247,28.5916236,77.1797473
267193248,28.591771,77.1795032
267193249,28.5920758,77.1791293
267193250,28.5924177,77.1787549
267193251,28.5927767,77.1783053
267193252,28.5931083,77.177859
267193253,28.5934323,77.1773869
267193270,28.5900162,77.1808058
267193271,28.5896279,77.1808362
267193274,28.5873655,77.1810776
267193275,28.5865384,77.1814012
267193276,28.5860088,77.1817128
267193277,28.5853912,77.1822444
267193278,28.5847595,77.1830877
267193283,28.585935,77.184745
267193284,28.5876631,77.1856789
267193290,28.5966818,77.1865378
267193293,28.5897279,77.1823222
267193295,28.590416,77.1807918
267193297,28.5871021,77.1887975
267193307,28.5867939,77.1893085
267193308,28.5852167,77.1926417
267193309,28.5854324,77.1929697
267193310,28.5905284,77.1956769
267193311,28.5907522,77.1957435
267193312,28.590958,77.195781
267193316,28.5850107,77.1932104
267193322,28.5844708,77.1995553
267193324,28.5814982,77.1908236
267193347,28.5797443,77.1988316
267193352,28.5874488,77.1893703
267193353,28.5937865,77.1926648
267193355,28.5863858,77.1904958
267193356,28.5859359,77.1902074
267193357,28.5855129,77.1898603
267193358,28.5850267,77.1893399
267193359,28.5846185,77.188777
267193360,28.5844472,77.1884763
267193361,28.5841246,77.1877209
267193362,28.5839459,77.1869921
267193363,28.5838432,77.1867878
267193364,28.5837485,77.186734
267193383,28.5909826,77.1741939
267193385,28.5905322,77.1745883
267193386,28.5897145,77.1754527
267193387,28.5895167,77.1758197
267193388,28.5895164,77.1765602
267193389,28.5896781,77.1768945
267193390,28.5899279,77.177241
267193391,28.5906665,77.1779534
267193392,28.5908926,77.178271
267193393,28.5910734,77.1787259
267193394,28.5913411,77.1791325
267193400,28.5885899,77.1738918
267193401,28.5879105,77.1743969
267193402,28.5872901,77.1750437
267193403,28.5867614,77.1757559
267193404,28.5860901,77.1772388
267193406,28.5818266,77.1887115
267193407,28.5813325,77.1950485
267196272,28.6165349,77.2246675
267196273,28.6201376,77.2193916
267196274,28.6203691,77.2185724
267196275,28.6201404,77.2183016
267196276,28.6134521,77.2184671
267196277,28.6102045,77.2181083
267196278,28.6186095,77.2096116
267196281,28.6190659,77.2093062
267196282,28.6190055,77.2090567
267196283,28.6188383,77.2089199
267196284,28.61873,77.2089036
267196285,28.6186232,77.208929
267196286,28.6184732,77.2090656
267196287,28.6184325,77.2091609
267196288,28.6184413,77.2094137
267196289,28.6172879,77.2117709
267196290,28.6172742,77.2120722
267196291,28.6173344,77.2121926
267196292,28.6173558,77.2123206
267196293,28.617341,77.2124498
267196294,28.6172915,77.2125671
267196295,28.6171987,77.2126653
267196296,28.6169761,77.2127407
267196298,28.6167092,77.2125826
267196299,28.6166425,77.2124171
267196300,28.6166451,77.2122352
267196301,28.6166627,77.2121741
267196302,28.6167687,77.2120139
267196303,28.6168184,77.2119747
267196304,28.6170544,77.2119284
267196305,28.6176108,77.2137403
267196306,28.6172648,77.2138846
267196307,28.6170603,77.2139674
267196308,28.6168995,77.2139674
267196309,28.6173986,77.2132387
267196313,28.6166322,77.2189385
267196314,28.6183027,77.218738
267196315,28.6180241,77.2200285
267196316,28.6174825,77.220719
267196317,28.6171168,77.2208211
267196318,28.6170322,77.2226992
267196319,28.6164349,77.222762
267196324,28.6094849,77.2238552
267196337,28.6218801,77.2215891
267196343,28.6176901,77.2123359
267196344,28.613927,77.208773
267196356,28.6155164,77.2092747
267196357,28.6138946,77.2091896
267197860,28.6031436,77.2238708
267197867,28.6032696,77.2236113
267197868,28.603338,77.2235968
267197869,28.6035906,77.2236301
267197870,28.6038523,77.2238175
267197875,28.6028861,77.2235637
267197876,28.6062102,77.2181424
267197877,28.6062726,77.217719
267197878,28.6063361,77.2176183
267197879,28.6064478,77.2174873
267197881,28.6071024,77.2171762
267197882,28.6072232,77.2171933
267197883,28.6073393,77.2172353
267197884,28.6074434,77.2172981
267197885,28.6076467,77.2175489
267197886,28.6076876,77.2176658
267197887,28.6077166,77.2179013
267197888,28.6076902,77.218301
267197889,28.6076696,77.2184153
267197890,28.6075913,77.2186079
267197891,28.6074875,77.2187784
267197892,28.6074386,77.2191717
267197893,28.6072353,77.2189358
267197894,28.6070236,77.2189175
267197895,28.6068779,77.218881
267197897,28.606481,77.2186026
267197898,28.6063937,77.2185054
267197899,28.6062394,77.2182504
267197900,28.6079599,77.2181077
267197901,28.6064357,77.2190048
267197903,28.6125272,77.209105
267197913,28.6123449,77.2086786
267197914,28.6105184,77.2123324
267197916,28.6101724,77.2119512
267197917,28.6102821,77.2122189
267197918,28.610651,77.2123089
267197919,28.6107687,77.2122295
267197921,28.610883,77.2118488
267197922,28.6107697,77.2116175
267197923,28.6106554,77.211539
267197924,28.6105229,77.211517
267197925,28.6103493,77.2115712
267197926,28.610211,77.2117378
267197928,28.6120909,77.212092
267197930,28.6087861,77.2089983
267197931,28.6086818,77.2087481
267197932,28.6086832,77.2086278
267197933,28.608713,77.2085124
267197934,28.6087691,77.2084105
267197935,28.6090138,77.2082564
267197936,28.6090851,77.2082529
267197937,28.6092028,77.2082807
267197938,28.609372,77.2084229
267197939,28.6094284,77.2085373
267197940,28.6094534,77.2086865
267197941,28.6094325,77.2088364
267197943,28.6093585,77.2089828
267197944,28.6090891,77.2091339
267197945,28.6090054,77.2091292
267197946,28.6089245,77.2091041
267197947,28.6088502,77.2090598
267197949,28.609352,77.2081502
267197952,28.6086073,77.2090414
267197953,28.6084768,77.2090905
267197954,28.6085581,77.2089324
267198388,28.6302174,77.2181923
267249899,28.6264116,77.2069639
267249900,28.6263996,77.2063447
267249901,28.6264699,77.2062106
267249902,28.6265641,77.2060972
267249903,28.6268512,77.205941
267249904,28.6269779,77.2059286
267249905,28.6271043,77.2059456
267249906,28.62738,77.2061052
267249907,28.627572,77.2064585
267249908,28.6275946,77.206617
267249909,28.6275214,77.2069704
267249910,28.6274726,77.2070599
267249911,28.6273431,77.2072094
267249912,28.6271648,77.2073157
267249913,28.6269661,77.207352
267249914,28.6267676,77.2073144
267249915,28.6264735,77.2070753
267249916,28.6264403,77.2070212
267249918,28.623617,77.2123414
267249919,28.6230581,77.2125666
267249920,28.6232067,77.2123622
267249921,28.6233382,77.2122982
267249922,28.623481,77.212291
267249923,28.6237589,77.2124882
267249925,28.6238247,77.2126933
267249926,28.6237991,77.2129097
267249927,28.6235884,77.2131594
267249928,28.6234802,77.2131941
