src,dst
249783291,5485951708
5485951708,10248656809
10248656809,6656817024
6656817024,1762944968
1762944968,1762945123
1762945123,10248624606
10248624606,5485952479
5485952479,11964115179
11964115179,5681450581
5681450581,249783293
6702715325,1762989541
1762989541,5681450578
5681450578,1762989517
1762989517,5681450576
5681450576,6702699405
6702699405,5681450575
5681450575,1762989512
1762989512,6702699408
6702699408,5681450574
5681450574,249786859
249786859,5681450573
5681450573,1762989499
1762989499,6666317455
249791934,10264542489
10264542489,6385537599
6385537599,5792664486
5339323505,11565005064
11565005064,266809471
266809471,266809470
266809470,266809469
266809469,1754729471
1754729471,3745099601
3745099601,266809468
266809468,1754729505
1754729505,9852811937
9852811937,266809467
266809467,943830347
943830347,9767010916
9767010916,266809466
266809466,5339323483
5339323483,5339323485
266809747,11773807748
11773807748,10302340970
10302340970,10302340968
10302340968,266809748
266809748,266809749
266809749,5137961097
5137961097,563661926
563661926,11837017428
11837017428,6669134699
6669134699,13540185196
621248536,5340271720
5340271720,12780247330
12780247330,1633262436
621248512,6655403358
6655403358,6655403385
6655403385,6655403357
6655403357,267193180
267193180,6655403387
6655403387,6655403355
6655403355,9852527171
9852527171,267193179
267193179,6645848778
6645848778,267193178
267193178,6655403377
6655403377,10271129622
10271129622,6655403353
6655403353,13253573808
13253573808,6655403352
6655403352,13253573827
13253573827,6655403354
6655403354,267193177
267193177,6655403351
6655403351,13253573822
13253573822,267193176
267193176,6655403350
6655403350,267193175
267193175,6655403349
6655403349,7222231181
7222231181,947950267
947950267,6655403315
6655403315,6655403312
6655403312,6655403332
6655403332,947950205
947950205,267193173
267193173,6655403336
6655403336,267193172
267193172,6655403334
6655403334,6655403335
6655403335,621248522
6655403315,6655403314
6655403314,6655403313
6655403313,267193174
267193174,13607399692
13607399692,13607417201
13607417201,563661941
563661941,3644533743
6655403189,6655403188
6655403188,6655403181
6655403181,11808669627
11808669627,6655403180
6655403180,6655403179
6655403179,6655403177
6655403177,6655403178
6655403178,6655403187
6655403187,563659620
563659620,6655403175
6655403175,6655403176
6655403176,621248471
6655403142,6655403141
6655403141,6655403140
6655403140,12144692245
12144692245,11001404247
11001404247,563659593
563659593,6655403143
6655403143,12000416976
12000416976,13579391175
13579391175,13579391170
13579391170,563661919
563661919,10302340966
10302340966,12000416978
12000416978,6655403154
6655403154,267193196
267193196,267193197
267193197,5134531453
5134531453,267193198
267193198,267193199
267193199,267193200
267193200,5134531449
5134531449,267193160
910549669,9861910940
9861910940,267193231
267193231,9874614516
9874614516,9874614515
9874614515,9874717717
9874717717,13161810460
13161810460,267193230
267193230,12237754715
1765269481,309862764
309862764,309862763
309862763,11984980568
11984980568,1765269517
1765269517,10248637964
10248637964,910549670
309859088,267193309
267193309,6657105372
6657105372,12000402767
12000402767,6657105373
6657105373,6961442931
6961442931,6657105374
6657105374,6657105375
6657105375,6657105376
6657105376,13300781266
13300781266,11808826356
11808826356,1870091833
1870091833,947950706
